,stat,precision,recall,f1-score,support,model_accuracy,model
4,weighted avg,0.874291583,0.872685185,0.872428501,432,0.872685185,sp_05_thresh_merge_55
0,0,0.862385321,0.890995261,0.876456876,211,0.877314815,sp_05_thresh_merge_60
1,1,0.892523364,0.864253394,0.87816092,221,0.877314815,sp_05_thresh_merge_60
2,accuracy,0.877314815,0.877314815,0.877314815,0.877314815,0.877314815,sp_05_thresh_merge_60
3,macro avg,0.877454343,0.877624327,0.877308898,432,0.877314815,sp_05_thresh_merge_60
4,weighted avg,0.877803163,0.877314815,0.877328621,432,0.877314815,sp_05_thresh_merge_60
0,0,0.81512605,0.91943128,0.864142539,211,0.858796296,sp_05_thresh_merge_65
1,1,0.912371134,0.800904977,0.853012048,221,0.858796296,sp_05_thresh_merge_65
2,accuracy,0.858796296,0.858796296,0.858796296,0.858796296,0.858796296,sp_05_thresh_merge_65
3,macro avg,0.863748592,0.860168128,0.858577294,432,0.858796296,sp_05_thresh_merge_65
4,weighted avg,0.864874114,0.858796296,0.858448468,432,0.858796296,sp_05_thresh_merge_65
0,0,0.773076923,0.952606635,0.853503185,211,0.840277778,sp_05_thresh_merge_70
1,1,0.941860465,0.733031674,0.824427481,221,0.840277778,sp_05_thresh_merge_70
2,accuracy,0.840277778,0.840277778,0.840277778,0.840277778,0.840277778,sp_05_thresh_merge_70
3,macro avg,0.857468694,0.842819155,0.838965333,432,0.840277778,sp_05_thresh_merge_70
4,weighted avg,0.859422207,0.840277778,0.838628808,432,0.840277778,sp_05_thresh_merge_70
0,0,0.699324324,0.981042654,0.816568047,211,0.784722222,sp_05_thresh_merge_75
1,1,0.970588235,0.597285068,0.739495798,221,0.784722222,sp_05_thresh_merge_75
2,accuracy,0.784722222,0.784722222,0.784722222,0.784722222,0.784722222,sp_05_thresh_merge_75
3,macro avg,0.83495628,0.789163861,0.778031923,432,0.784722222,sp_05_thresh_merge_75
4,weighted avg,0.838095908,0.784722222,0.777139883,432,0.784722222,sp_05_thresh_merge_75
0,0,0.641975309,0.985781991,0.777570093,211,0.724537037,sp_05_thresh_merge_80
1,1,0.972222222,0.475113122,0.638297872,221,0.724537037,sp_05_thresh_merge_80
2,accuracy,0.724537037,0.724537037,0.724537037,0.724537037,0.724537037,sp_05_thresh_merge_80
3,macro avg,0.807098765,0.730447556,0.707933983,432,0.724537037,sp_05_thresh_merge_80
4,weighted avg,0.810921068,0.724537037,0.706322036,432,0.724537037,sp_05_thresh_merge_80
0,0,0.585434174,0.990521327,0.735915493,211,0.652777778,sp_05_thresh_merge_85
1,1,0.973333333,0.330316742,0.493243243,221,0.652777778,sp_05_thresh_merge_85
2,accuracy,0.652777778,0.652777778,0.652777778,0.652777778,0.652777778,sp_05_thresh_merge_85
3,macro avg,0.779383754,0.660419035,0.614579368,432,0.652777778,sp_05_thresh_merge_85
4,weighted avg,0.783873327,0.652777778,0.611770662,432,0.652777778,sp_05_thresh_merge_85
0,0,0.526315789,0.995260664,0.68852459,211,0.560185185,sp_05_thresh_merge_90
1,1,0.96969697,0.14479638,0.251968504,221,0.560185185,sp_05_thresh_merge_90
2,accuracy,0.560185185,0.560185185,0.560185185,0.560185185,0.560185185,sp_05_thresh_merge_90
3,macro avg,0.74800638,0.570028522,0.470246547,432,0.560185185,sp_05_thresh_merge_90
4,weighted avg,0.753138106,0.560185185,0.465193815,432,0.560185185,sp_05_thresh_merge_90
0,0,0.5,0.995260664,0.665610143,211,0.511574074,sp_05_thresh_merge_95
1,1,0.916666667,0.049773756,0.094420601,221,0.511574074,sp_05_thresh_merge_95
2,accuracy,0.511574074,0.511574074,0.511574074,0.511574074,0.511574074,sp_05_thresh_merge_95
3,macro avg,0.708333333,0.52251721,0.380015372,432,0.511574074,sp_05_thresh_merge_95
4,weighted avg,0.713155864,0.511574074,0.373404382,432,0.511574074,sp_05_thresh_merge_95
0,0,1,0.587677725,0.740298507,211,0.798611111,sp_06_thresh_merge_50
1,1,0.717532468,1,0.835538752,221,0.798611111,sp_06_thresh_merge_50
2,accuracy,0.798611111,0.798611111,0.798611111,0.798611111,0.798611111,sp_06_thresh_merge_50
3,macro avg,0.858766234,0.793838863,0.78791863,432,0.798611111,sp_06_thresh_merge_50
4,weighted avg,0.855496934,0.798611111,0.789020948,432,0.798611111,sp_06_thresh_merge_50
0,0,1,0.63507109,0.776811594,211,0.821759259,sp_06_thresh_merge_55
1,1,0.741610738,1,0.851637765,221,0.821759259,sp_06_thresh_merge_55
2,accuracy,0.821759259,0.821759259,0.821759259,0.821759259,0.821759259,sp_06_thresh_merge_55
3,macro avg,0.870805369,0.817535545,0.81422468,432,0.821759259,sp_06_thresh_merge_55
4,weighted avg,0.867814753,0.821759259,0.815090723,432,0.821759259,sp_06_thresh_merge_55
0,0,0.974358974,0.720379147,0.828337875,211,0.854166667,sp_06_thresh_merge_60
1,1,0.786231884,0.981900452,0.873239437,221,0.854166667,sp_06_thresh_merge_60
2,accuracy,0.854166667,0.854166667,0.854166667,0.854166667,0.854166667,sp_06_thresh_merge_60
3,macro avg,0.880295429,0.8511398,0.850788656,432,0.854166667,sp_06_thresh_merge_60
4,weighted avg,0.878118032,0.854166667,0.85130835,432,0.854166667,sp_06_thresh_merge_60
0,0,0.954285714,0.791469194,0.865284974,211,0.87962963,sp_06_thresh_merge_65
1,1,0.828793774,0.963800905,0.891213389,221,0.87962963,sp_06_thresh_merge_65
2,accuracy,0.87962963,0.87962963,0.87962963,0.87962963,0.87962963,sp_06_thresh_merge_65
3,macro avg,0.891539744,0.87763505,0.878249182,432,0.87962963,sp_06_thresh_merge_65
4,weighted avg,0.890087291,0.87962963,0.878549279,432,0.87962963,sp_06_thresh_merge_65
0,0,0.941489362,0.838862559,0.887218045,211,0.895833333,sp_06_thresh_merge_70
1,1,0.860655738,0.950226244,0.903225806,221,0.895833333,sp_06_thresh_merge_70
2,accuracy,0.895833333,0.895833333,0.895833333,0.895833333,0.895833333,sp_06_thresh_merge_70
3,macro avg,0.90107255,0.894544402,0.895221926,432,0.895833333,sp_06_thresh_merge_70
4,weighted avg,0.900136975,0.895833333,0.895407201,432,0.895833333,sp_06_thresh_merge_70
0,0,0.90430622,0.895734597,0.9,211,0.902777778,sp_06_thresh_merge_75
1,1,0.901345291,0.909502262,0.905405405,221,0.902777778,sp_06_thresh_merge_75
2,accuracy,0.902777778,0.902777778,0.902777778,0.902777778,0.902777778,sp_06_thresh_merge_75
3,macro avg,0.902825756,0.90261843,0.902702703,432,0.902777778,sp_06_thresh_merge_75
4,weighted avg,0.902791486,0.902777778,0.902765265,432,0.902777778,sp_06_thresh_merge_75
0,0,0.852813853,0.933649289,0.891402715,211,0.888888889,sp_06_thresh_merge_80
1,1,0.930348259,0.846153846,0.886255924,221,0.888888889,sp_06_thresh_merge_80
2,accuracy,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,sp_06_thresh_merge_80
3,macro avg,0.891581056,0.889901568,0.88882932,432,0.888888889,sp_06_thresh_merge_80
4,weighted avg,0.892478445,0.888888889,0.88876975,432,0.888888889,sp_06_thresh_merge_80
0,0,0.786821705,0.962085308,0.865671642,211,0.854166667,sp_06_thresh_merge_85
1,1,0.954022989,0.751131222,0.840506329,221,0.854166667,sp_06_thresh_merge_85
