,stat,precision,recall,f1-score,support,model_accuracy,model
3,macro avg,0.53125,0.7475961538461539,0.3900132400226972,215.0,0.5116279069767442,sp_05_thresh_merge_80
4,weighted avg,0.9694767441860465,0.5116279069767442,0.644643948957733,215.0,0.5116279069767442,sp_05_thresh_merge_80
0,0.0,0.04929577464788732,1.0,0.09395973154362416,7.0,0.37209302325581395,sp_05_thresh_merge_85
1,1.0,1.0,0.35096153846153844,0.5195729537366548,208.0,0.37209302325581395,sp_05_thresh_merge_85
2,accuracy,0.37209302325581395,0.37209302325581395,0.37209302325581395,0.37209302325581395,0.37209302325581395,sp_05_thresh_merge_85
3,macro avg,0.5246478873239436,0.6754807692307692,0.30676634264013947,215.0,0.37209302325581395,sp_05_thresh_merge_85
4,weighted avg,0.9690468391745823,0.37209302325581395,0.5057157790606026,215.0,0.37209302325581395,sp_05_thresh_merge_85
0,0.0,0.03825136612021858,1.0,0.07368421052631578,7.0,0.1813953488372093,sp_05_thresh_merge_90
1,1.0,1.0,0.15384615384615385,0.2666666666666667,208.0,0.1813953488372093,sp_05_thresh_merge_90
2,accuracy,0.1813953488372093,0.1813953488372093,0.1813953488372093,0.1813953488372093,0.1813953488372093,sp_05_thresh_merge_90
3,macro avg,0.5191256830601093,0.5769230769230769,0.17017543859649126,215.0,0.1813953488372093,sp_05_thresh_merge_90
4,weighted avg,0.9686872537806582,0.1813953488372093,0.26038351693186457,215.0,0.1813953488372093,sp_05_thresh_merge_90
0,0.0,0.03431372549019608,1.0,0.06635071090047394,7.0,0.08372093023255814,sp_05_thresh_merge_95
1,1.0,1.0,0.052884615384615384,0.1004566210045662,208.0,0.08372093023255814,sp_05_thresh_merge_95
2,accuracy,0.08372093023255814,0.08372093023255814,0.08372093023255814,0.08372093023255814,0.08372093023255814,sp_05_thresh_merge_95
3,macro avg,0.5171568627450981,0.5264423076923077,0.08340366595252008,215.0,0.08372093023255814,sp_05_thresh_merge_95
4,weighted avg,0.9685590515275878,0.08372093023255814,0.09934619602443298,215.0,0.08372093023255814,sp_05_thresh_merge_95
0,0.0,0.0,0.0,0.0,7.0,0.9674418604651163,sp_06_thresh_merge_50
1,1.0,0.9674418604651163,1.0,0.983451536643026,208.0,0.9674418604651163,sp_06_thresh_merge_50
2,accuracy,0.9674418604651163,0.9674418604651163,0.9674418604651163,0.9674418604651163,0.9674418604651163,sp_06_thresh_merge_50
3,macro avg,0.48372093023255813,0.5,0.491725768321513,215.0,0.9674418604651163,sp_06_thresh_merge_50
4,weighted avg,0.9359437533802055,0.9674418604651163,0.9514321842872064,215.0,0.9674418604651163,sp_06_thresh_merge_50
0,0.0,1.0,0.14285714285714285,0.25,7.0,0.9720930232558139,sp_06_thresh_merge_55
1,1.0,0.9719626168224299,1.0,0.985781990521327,208.0,0.9720930232558139,sp_06_thresh_merge_55
2,accuracy,0.9720930232558139,0.9720930232558139,0.9720930232558139,0.9720930232558139,0.9720930232558139,sp_06_thresh_merge_55
3,macro avg,0.985981308411215,0.5714285714285714,0.6178909952606635,215.0,0.9720930232558139,sp_06_thresh_merge_55
4,weighted avg,0.9728754618561183,0.9720930232558139,0.961826297806679,215.0,0.9720930232558139,sp_06_thresh_merge_55
0,0.0,0.2,0.14285714285714285,0.16666666666666666,7.0,0.9534883720930233,sp_06_thresh_merge_60
1,1.0,0.9714285714285714,0.9807692307692307,0.9760765550239234,208.0,0.9534883720930233,sp_06_thresh_merge_60
2,accuracy,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,sp_06_thresh_merge_60
3,macro avg,0.5857142857142857,0.5618131868131868,0.5713716108452951,215.0,0.9534883720930233,sp_06_thresh_merge_60
4,weighted avg,0.946312292358804,0.9534883720930233,0.9497236749378731,215.0,0.9534883720930233,sp_06_thresh_merge_60
0,0.0,0.2,0.2857142857142857,0.23529411764705882,7.0,0.9395348837209302,sp_06_thresh_merge_65
1,1.0,0.975609756097561,0.9615384615384616,0.9685230024213075,208.0,0.9395348837209302,sp_06_thresh_merge_65
2,accuracy,0.9395348837209302,0.9395348837209302,0.9395348837209302,0.9395348837209302,0.9395348837209302,sp_06_thresh_merge_65
3,macro avg,0.5878048780487805,0.6236263736263736,0.6019085600341831,215.0,0.9395348837209302,sp_06_thresh_merge_65
4,weighted avg,0.9503573454339195,0.9395348837209302,0.9446504340798204,215.0,0.9395348837209302,sp_06_thresh_merge_65
0,0.0,0.21428571428571427,0.42857142857142855,0.2857142857142857,7.0,0.9302325581395349,sp_06_thresh_merge_70
1,1.0,0.9800995024875622,0.9471153846153846,0.9633251833740831,208.0,0.9302325581395349,sp_06_thresh_merge_70
2,accuracy,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,sp_06_thresh_merge_70
3,macro avg,0.5971926083866382,0.6878434065934066,0.6245197345441844,215.0,0.9302325581395349,sp_06_thresh_merge_70
4,weighted avg,0.9551660303135484,0.9302325581395349,0.9412634332177177,215.0,0.9302325581395349,sp_06_thresh_merge_70
0,0.0,0.13043478260869565,0.42857142857142855,0.2,7.0,0.8883720930232558,sp_06_thresh_merge_75
1,1.0,0.9791666666666666,0.9038461538461539,0.9400000000000001,208.0,0.8883720930232558,sp_06_thresh_merge_75
2,accuracy,0.8883720930232558,0.8883720930232558,0.8883720930232558,0.8883720930232558,0.8883720930232558,sp_06_thresh_merge_75
3,macro avg,0.5548007246376812,0.6662087912087912,0.5700000000000001,215.0,0.8883720930232558,sp_06_thresh_merge_75
4,weighted avg,0.9515335355578025,0.8883720930232558,0.9159069767441861,215.0,0.8883720930232558,sp_06_thresh_merge_75
0,0.0,0.08333333333333333,0.42857142857142855,0.13953488372093023,7.0,0.827906976744186,sp_06_thresh_merge_80
1,1.0,0.9776536312849162,0.8413461538461539,0.9043927648578811,208.0,0.827906976744186,sp_06_thresh_merge_80
2,accuracy,0.827906976744186,0.827906976744186,0.827906976744186,0.827906976744186,0.827906976744186,sp_06_thresh_merge_80
3,macro avg,0.5304934823091247,0.6349587912087912,0.5219638242894057,215.0,0.827906976744186,sp_06_thresh_merge_80
4,weighted avg,0.9485362262353298,0.827906976744186,0.8794904152394688,215.0,0.827906976744186,sp_06_thresh_merge_80
0,0.0,0.09090909090909091,0.7142857142857143,0.16129032258064518,7.0,0.7581395348837209,sp_06_thresh_merge_85
1,1.0,0.9875,0.7596153846153846,0.8586956521739131,208.0,0.7581395348837209,sp_06_thresh_merge_85
2,accuracy,0.7581395348837209,0.7581395348837209,0.7581395348837209,0.7581395348837209,0.7581395348837209,sp_06_thresh_merge_85
3,macro avg,0.5392045454545454,0.7369505494505495,0.5099929873772792,215.0,0.7581395348837209,sp_06_thresh_merge_85
4,weighted avg,0.9583086680761099,0.7581395348837209,0.8359894321406439,215.0,0.7581395348837209,sp_06_thresh_merge_85
0,0.0,0.05714285714285714,0.8571428571428571,0.10714285714285714,7.0,0.5348837209302325,sp_06_thresh_merge_90
1,1.0,0.990909090909091,0.5240384615384616,0.6855345911949686,208.0,0.5348837209302325,sp_06_thresh_merge_90
2,accuracy,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.5348837209302325,sp_06_thresh_merge_90
3,macro avg,0.5240259740259741,0.6905906593406593,0.39633872416891286,215.0,0.5348837209302325,sp_06_thresh_merge_90
4,weighted avg,0.9605073995771671,0.5348837209302325,0.6667032324118767,215.0,0.5348837209302325,sp_06_thresh_merge_90
0,0.0,0.04666666666666667,1.0,0.089171974522293,7.0,0.33488372093023255,sp_06_thresh_merge_95
1,1.0,1.0,0.3125,0.47619047619047616,208.0,0.33488372093023255,sp_06_thresh_merge_95
2,accuracy,0.33488372093023255,0.33488372093023255,0.33488372093023255,0.33488372093023255,0.33488372093023255,sp_06_thresh_merge_95
3,macro avg,0.5233333333333333,0.65625,0.28268122535638457,215.0,0.33488372093023255,sp_06_thresh_merge_95
4,weighted avg,0.9689612403100775,0.33488372093023255,0.4635898738105818,215.0,0.33488372093023255,sp_06_thresh_merge_95
0,0.0,0.1,0.14285714285714285,0.11764705882352941,7.0,0.9302325581395349,sp_075_thresh_merge_50
1,1.0,0.9707317073170731,0.9567307692307693,0.963680387409201,208.0,0.9302325581395349,sp_075_thresh_merge_50
2,accuracy,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,sp_075_thresh_merge_50
3,macro avg,0.5353658536585366,0.5497939560439561,0.5406637231163652,215.0,0.9302325581395349,sp_075_thresh_merge_50
4,weighted avg,0.9423823028927963,0.9302325581395349,0.9361351162459466,215.0,0.9302325581395349,sp_075_thresh_merge_50
0,0.0,0.13636363636363635,0.42857142857142855,0.20689655172413793,7.0,0.8930232558139535,sp_075_thresh_merge_55
1,1.0,0.9792746113989638,0.9086538461538461,0.942643391521197,208.0,0.8930232558139535,sp_075_thresh_merge_55
2,accuracy,0.8930232558139535,0.8930232558139535,0.8930232558139535,0.8930232558139535,0.8930232558139535,sp_075_thresh_merge_55
3,macro avg,0.5578191238813001,0.6686126373626373,0.5747699716226675,215.0,0.8930232558139535,sp_075_thresh_merge_55
4,weighted avg,0.9518309982582788,0.8930232558139535,0.9186888432487347,215.0,0.8930232558139535,sp_075_thresh_merge_55
0,0.0,0.0967741935483871,0.42857142857142855,0.15789473684210525,7.0,0.8511627906976744,sp_075_thresh_merge_60
1,1.0,0.9782608695652174,0.8653846153846154,0.9183673469387755,208.0,0.8511627906976744,sp_075_thresh_merge_60
2,accuracy,0.8511627906976744,0.8511627906976744,0.8511627906976744,0.8511627906976744,0.8511627906976744,sp_075_thresh_merge_60
3,macro avg,0.5375175315568023,0.646978021978022,0.5381310418904404,215.0,0.8511627906976744,sp_075_thresh_merge_60
4,weighted avg,0.9495613033693207,0.8511627906976744,0.8936077735867909,215.0,0.8511627906976744,sp_075_thresh_merge_60
0,0.0,0.06976744186046512,0.42857142857142855,0.12,7.0,0.7953488372093023,sp_075_thresh_merge_65
1,1.0,0.9767441860465116,0.8076923076923077,0.8842105263157894,208.0,0.7953488372093023,sp_075_thresh_merge_65
2,accuracy,0.7953488372093023,0.7953488372093023,0.7953488372093023,0.7953488372093023,0.7953488372093023,sp_075_thresh_merge_65
3,macro avg,0.5232558139534883,0.6181318681318682,0.5021052631578947,215.0,0.7953488372093023,sp_075_thresh_merge_65
4,weighted avg,0.9472147106544078,0.7953488372093023,0.8593292533659731,215.0,0.7953488372093023,sp_075_thresh_merge_65
0,0.0,0.06896551724137931,0.5714285714285714,0.12307692307692308,7.0,0.7348837209302326,sp_075_thresh_merge_70
1,1.0,0.9808917197452229,0.7403846153846154,0.8438356164383561,208.0,0.7348837209302326,sp_075_thresh_merge_70
2,accuracy,0.7348837209302326,0.7348837209302326,0.7348837209302326,0.7348837209302326,0.7348837209302326,sp_075_thresh_merge_70
3,macro avg,0.5249286184933011,0.6559065934065934,0.4834562697576396,215.0,0.7348837209302326,sp_075_thresh_merge_70
4,weighted avg,0.9512010991985861,0.7348837209302326,0.8203690543289142,215.0,0.7348837209302326,sp_075_thresh_merge_70
0,0.0,0.06818181818181818,0.8571428571428571,0.1263157894736842,7.0,0.6139534883720931,sp_075_thresh_merge_75
1,1.0,0.9921259842519685,0.6057692307692307,0.7522388059701491,208.0,0.6139534883720931,sp_075_thresh_merge_75
2,accuracy,0.6139534883720931,0.6139534883720931,0.6139534883720931,0.6139534883720931,0.6139534883720931,sp_075_thresh_merge_75
3,macro avg,0.5301539012168933,0.7314560439560439,0.43927729772191665,215.0,0.6139534883720931,sp_075_thresh_merge_75
4,weighted avg,0.9620440811706148,0.6139534883720931,0.731859917060962,215.0,0.6139534883720931,sp_075_thresh_merge_75
0,0.0,0.0625,1.0,0.11764705882352941,7.0,0.5116279069767442,sp_075_thresh_merge_80
1,1.0,1.0,0.4951923076923077,0.662379421221865,208.0,0.5116279069767442,sp_075_thresh_merge_80
2,accuracy,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,sp_075_thresh_merge_80
3,macro avg,0.53125,0.7475961538461539,0.3900132400226972,215.0,0.5116279069767442,sp_075_thresh_merge_80
4,weighted avg,0.9694767441860465,0.5116279069767442,0.644643948957733,215.0,0.5116279069767442,sp_075_thresh_merge_80
0,0.0,0.04929577464788732,1.0,0.09395973154362416,7.0,0.37209302325581395,sp_075_thresh_merge_85
1,1.0,1.0,0.35096153846153844,0.5195729537366548,208.0,0.37209302325581395,sp_075_thresh_merge_85
2,accuracy,0.37209302325581395,0.37209302325581395,0.37209302325581395,0.37209302325581395,0.37209302325581395,sp_075_thresh_merge_85
3,macro avg,0.5246478873239436,0.6754807692307692,0.30676634264013947,215.0,0.37209302325581395,sp_075_thresh_merge_85
4,weighted avg,0.9690468391745823,0.37209302325581395,0.5057157790606026,215.0,0.37209302325581395,sp_075_thresh_merge_85
0,0.0,0.03825136612021858,1.0,0.07368421052631578,7.0,0.1813953488372093,sp_075_thresh_merge_90
1,1.0,1.0,0.15384615384615385,0.2666666666666667,208.0,0.1813953488372093,sp_075_thresh_merge_90
2,accuracy,0.1813953488372093,0.1813953488372093,0.1813953488372093,0.1813953488372093,0.1813953488372093,sp_075_thresh_merge_90
3,macro avg,0.5191256830601093,0.5769230769230769,0.17017543859649126,215.0,0.1813953488372093,sp_075_thresh_merge_90
4,weighted avg,0.9686872537806582,0.1813953488372093,0.26038351693186457,215.0,0.1813953488372093,sp_075_thresh_merge_90
0,0.0,0.03431372549019608,1.0,0.06635071090047394,7.0,0.08372093023255814,sp_075_thresh_merge_95
1,1.0,1.0,0.052884615384615384,0.1004566210045662,208.0,0.08372093023255814,sp_075_thresh_merge_95
2,accuracy,0.08372093023255814,0.08372093023255814,0.08372093023255814,0.08372093023255814,0.08372093023255814,sp_075_thresh_merge_95
3,macro avg,0.5171568627450981,0.5264423076923077,0.08340366595252008,215.0,0.08372093023255814,sp_075_thresh_merge_95
4,weighted avg,0.9685590515275878,0.08372093023255814,0.09934619602443298,215.0,0.08372093023255814,sp_075_thresh_merge_95
0,0.0,0.0,0.0,0.0,7.0,0.9441860465116279,sp_07_thresh_merge_50
1,1.0,0.9666666666666667,0.9759615384615384,0.9712918660287081,208.0,0.9441860465116279,sp_07_thresh_merge_50
2,accuracy,0.9441860465116279,0.9441860465116279,0.9441860465116279,0.9441860465116279,0.9441860465116279,sp_07_thresh_merge_50
3,macro avg,0.48333333333333334,0.4879807692307692,0.48564593301435405,215.0,0.9441860465116279,sp_07_thresh_merge_50
4,weighted avg,0.9351937984496124,0.9441860465116279,0.9396684099254479,215.0,0.9441860465116279,sp_07_thresh_merge_50
0,0.0,0.09090909090909091,0.14285714285714285,0.1111111111111111,7.0,0.9255813953488372,sp_07_thresh_merge_55
1,1.0,0.9705882352941176,0.9519230769230769,0.9611650485436893,208.0,0.9255813953488372,sp_07_thresh_merge_55
2,accuracy,0.9255813953488372,0.9255813953488372,0.9255813953488372,0.9255813953488372,0.9255813953488372,sp_07_thresh_merge_55
3,macro avg,0.5307486631016043,0.5473901098901098,0.5361380798274002,215.0,0.9255813953488372,sp_07_thresh_merge_55
4,weighted avg,0.9419475189653027,0.9255813953488372,0.9334888738365821,215.0,0.9255813953488372,sp_07_thresh_merge_55
0,0.0,0.15789473684210525,0.42857142857142855,0.23076923076923078,7.0,0.9069767441860465,sp_07_thresh_merge_60
1,1.0,0.9795918367346939,0.9230769230769231,0.9504950495049506,208.0,0.9069767441860465,sp_07_thresh_merge_60
2,accuracy,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,sp_07_thresh_merge_60
3,macro avg,0.5687432867883996,0.6758241758241759,0.5906321401370906,215.0,0.9069767441860465,sp_07_thresh_merge_60
4,weighted avg,0.9528389079009817,0.9069767441860465,0.9270621158716945,215.0,0.9069767441860465,sp_07_thresh_merge_60
0,0.0,0.12,0.42857142857142855,0.1875,7.0,0.8790697674418605,sp_07_thresh_merge_65
1,1.0,0.9789473684210527,0.8942307692307693,0.9346733668341709,208.0,0.8790697674418605,sp_07_thresh_merge_65
2,accuracy,0.8790697674418605,0.8790697674418605,0.8790697674418605,0.8790697674418605,0.8790697674418605,sp_07_thresh_merge_65
3,macro avg,0.5494736842105263,0.6614010989010989,0.5610866834170855,215.0,0.8790697674418605,sp_07_thresh_merge_65
4,weighted avg,0.9509816401468788,0.8790697674418605,0.9103467921000351,215.0,0.8790697674418605,sp_07_thresh_merge_65
0,0.0,0.08333333333333333,0.42857142857142855,0.13953488372093023,7.0,0.827906976744186,sp_07_thresh_merge_70
1,1.0,0.9776536312849162,0.8413461538461539,0.9043927648578811,208.0,0.827906976744186,sp_07_thresh_merge_70
2,accuracy,0.827906976744186,0.827906976744186,0.827906976744186,0.827906976744186,0.827906976744186,sp_07_thresh_merge_70
3,macro avg,0.5304934823091247,0.6349587912087912,0.5219638242894057,215.0,0.827906976744186,sp_07_thresh_merge_70
4,weighted avg,0.9485362262353298,0.827906976744186,0.8794904152394688,215.0,0.827906976744186,sp_07_thresh_merge_70
0,0.0,0.05172413793103448,0.42857142857142855,0.0923076923076923,7.0,0.7255813953488373,sp_07_thresh_merge_75
1,1.0,0.9745222929936306,0.7355769230769231,0.8383561643835618,208.0,0.7255813953488373,sp_07_thresh_merge_75
2,accuracy,0.7255813953488373,0.7255813953488373,0.7255813953488373,0.7255813953488373,0.7255813953488373,sp_07_thresh_merge_75
3,macro avg,0.5131232154623325,0.5820741758241759,0.46533192834562703,215.0,0.7255813953488373,sp_07_thresh_merge_75
4,weighted avg,0.9444777018985693,0.7255813953488373,0.8140662141299287,215.0,0.7255813953488373,sp_07_thresh_merge_75
0,0.0,0.0641025641025641,0.7142857142857143,0.1176470588235294,7.0,0.6511627906976745,sp_07_thresh_merge_80
