,stat,precision,recall,f1-score,support,model_accuracy,model
4,weighted avg,0.947214711,0.795348837,0.859329253,215,0.795348837,sp_05_thresh_merge_65
0,0,0.068965517,0.571428571,0.123076923,7,0.734883721,sp_05_thresh_merge_70
1,1,0.98089172,0.740384615,0.843835616,208,0.734883721,sp_05_thresh_merge_70
2,accuracy,0.734883721,0.734883721,0.734883721,0.734883721,0.734883721,sp_05_thresh_merge_70
3,macro avg,0.524928618,0.655906593,0.48345627,215,0.734883721,sp_05_thresh_merge_70
4,weighted avg,0.951201099,0.734883721,0.820369054,215,0.734883721,sp_05_thresh_merge_70
0,0,0.068181818,0.857142857,0.126315789,7,0.613953488,sp_05_thresh_merge_75
1,1,0.992125984,0.605769231,0.752238806,208,0.613953488,sp_05_thresh_merge_75
2,accuracy,0.613953488,0.613953488,0.613953488,0.613953488,0.613953488,sp_05_thresh_merge_75
3,macro avg,0.530153901,0.731456044,0.439277298,215,0.613953488,sp_05_thresh_merge_75
4,weighted avg,0.962044081,0.613953488,0.731859917,215,0.613953488,sp_05_thresh_merge_75
0,0,0.0625,1,0.117647059,7,0.511627907,sp_05_thresh_merge_80
1,1,1,0.495192308,0.662379421,208,0.511627907,sp_05_thresh_merge_80
2,accuracy,0.511627907,0.511627907,0.511627907,0.511627907,0.511627907,sp_05_thresh_merge_80
3,macro avg,0.53125,0.747596154,0.39001324,215,0.511627907,sp_05_thresh_merge_80
4,weighted avg,0.969476744,0.511627907,0.644643949,215,0.511627907,sp_05_thresh_merge_80
0,0,0.049295775,1,0.093959732,7,0.372093023,sp_05_thresh_merge_85
1,1,1,0.350961538,0.519572954,208,0.372093023,sp_05_thresh_merge_85
2,accuracy,0.372093023,0.372093023,0.372093023,0.372093023,0.372093023,sp_05_thresh_merge_85
3,macro avg,0.524647887,0.675480769,0.306766343,215,0.372093023,sp_05_thresh_merge_85
4,weighted avg,0.969046839,0.372093023,0.505715779,215,0.372093023,sp_05_thresh_merge_85
0,0,0.038251366,1,0.073684211,7,0.181395349,sp_05_thresh_merge_90
1,1,1,0.153846154,0.266666667,208,0.181395349,sp_05_thresh_merge_90
2,accuracy,0.181395349,0.181395349,0.181395349,0.181395349,0.181395349,sp_05_thresh_merge_90
3,macro avg,0.519125683,0.576923077,0.170175439,215,0.181395349,sp_05_thresh_merge_90
4,weighted avg,0.968687254,0.181395349,0.260383517,215,0.181395349,sp_05_thresh_merge_90
0,0,0.034313725,1,0.066350711,7,0.08372093,sp_05_thresh_merge_95
1,1,1,0.052884615,0.100456621,208,0.08372093,sp_05_thresh_merge_95
2,accuracy,0.08372093,0.08372093,0.08372093,0.08372093,0.08372093,sp_05_thresh_merge_95
3,macro avg,0.517156863,0.526442308,0.083403666,215,0.08372093,sp_05_thresh_merge_95
4,weighted avg,0.968559052,0.08372093,0.099346196,215,0.08372093,sp_05_thresh_merge_95
0,0,0,0,0,7,0.96744186,sp_06_thresh_merge_50
1,1,0.96744186,1,0.983451537,208,0.96744186,sp_06_thresh_merge_50
2,accuracy,0.96744186,0.96744186,0.96744186,0.96744186,0.96744186,sp_06_thresh_merge_50
3,macro avg,0.48372093,0.5,0.491725768,215,0.96744186,sp_06_thresh_merge_50
4,weighted avg,0.935943753,0.96744186,0.951432184,215,0.96744186,sp_06_thresh_merge_50
0,0,1,0.142857143,0.25,7,0.972093023,sp_06_thresh_merge_55
1,1,0.971962617,1,0.985781991,208,0.972093023,sp_06_thresh_merge_55
2,accuracy,0.972093023,0.972093023,0.972093023,0.972093023,0.972093023,sp_06_thresh_merge_55
3,macro avg,0.985981308,0.571428571,0.617890995,215,0.972093023,sp_06_thresh_merge_55
4,weighted avg,0.972875462,0.972093023,0.961826298,215,0.972093023,sp_06_thresh_merge_55
0,0,0.2,0.142857143,0.166666667,7,0.953488372,sp_06_thresh_merge_60
1,1,0.971428571,0.980769231,0.976076555,208,0.953488372,sp_06_thresh_merge_60
2,accuracy,0.953488372,0.953488372,0.953488372,0.953488372,0.953488372,sp_06_thresh_merge_60
3,macro avg,0.585714286,0.561813187,0.571371611,215,0.953488372,sp_06_thresh_merge_60
4,weighted avg,0.946312292,0.953488372,0.949723675,215,0.953488372,sp_06_thresh_merge_60
0,0,0.2,0.285714286,0.235294118,7,0.939534884,sp_06_thresh_merge_65
1,1,0.975609756,0.961538462,0.968523002,208,0.939534884,sp_06_thresh_merge_65
2,accuracy,0.939534884,0.939534884,0.939534884,0.939534884,0.939534884,sp_06_thresh_merge_65
3,macro avg,0.587804878,0.623626374,0.60190856,215,0.939534884,sp_06_thresh_merge_65
4,weighted avg,0.950357345,0.939534884,0.944650434,215,0.939534884,sp_06_thresh_merge_65
0,0,0.214285714,0.428571429,0.285714286,7,0.930232558,sp_06_thresh_merge_70
1,1,0.980099502,0.947115385,0.963325183,208,0.930232558,sp_06_thresh_merge_70
2,accuracy,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,sp_06_thresh_merge_70
3,macro avg,0.597192608,0.687843407,0.624519735,215,0.930232558,sp_06_thresh_merge_70
4,weighted avg,0.95516603,0.930232558,0.941263433,215,0.930232558,sp_06_thresh_merge_70
0,0,0.130434783,0.428571429,0.2,7,0.888372093,sp_06_thresh_merge_75
1,1,0.979166667,0.903846154,0.94,208,0.888372093,sp_06_thresh_merge_75
2,accuracy,0.888372093,0.888372093,0.888372093,0.888372093,0.888372093,sp_06_thresh_merge_75
3,macro avg,0.554800725,0.666208791,0.57,215,0.888372093,sp_06_thresh_merge_75
4,weighted avg,0.951533536,0.888372093,0.915906977,215,0.888372093,sp_06_thresh_merge_75
0,0,0.083333333,0.428571429,0.139534884,7,0.827906977,sp_06_thresh_merge_80
1,1,0.977653631,0.841346154,0.904392765,208,0.827906977,sp_06_thresh_merge_80
2,accuracy,0.827906977,0.827906977,0.827906977,0.827906977,0.827906977,sp_06_thresh_merge_80
3,macro avg,0.530493482,0.634958791,0.521963824,215,0.827906977,sp_06_thresh_merge_80
4,weighted avg,0.948536226,0.827906977,0.879490415,215,0.827906977,sp_06_thresh_merge_80
0,0,0.090909091,0.714285714,0.161290323,7,0.758139535,sp_06_thresh_merge_85
1,1,0.9875,0.759615385,0.858695652,208,0.758139535,sp_06_thresh_merge_85
2,accuracy,0.758139535,0.758139535,0.758139535,0.758139535,0.758139535,sp_06_thresh_merge_85
